id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
166,Ted Hansen Campaign,22/03/2019,video,NO_CTA,video,250.66,103539,22,7,2,11966,11966,No,0,No person,Informing,1,2,5,8,no CTA at all,Positive,Economy,0,Professional,0,1,0,Grey
166,Ted Hansen Campaign,22/03/2019,video,NO_CTA,video,250.66,103539,22,7,2,11966,11966,No,0,No person,Informing,3,1,5,9,CTA in text,Positive,Economy,1,Professional,0,0,1,Magenta
167,NY Climate Collective,27/04/2018,video,NO_CTA,video,497.33,103376,119,49,21,10657,2322,Yes,1,Man,Persuading,2,1,8,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
168,Ted Hansen Campaign,20/08/2019,photo,NO_CTA,photo,152.75,103077,33,6,1,0,0,Yes,1,Woman,Persuading,1,1,9,3,no CTA at all,Neutral,Economy,0,Professional,0,0,0,Blue
169,Great Rants,20/05/2019,photo,NO_CTA,photo,341.76,102253,13,1,3,0,0,No,0,No person,Persuading,2,1,8,2,no CTA at all,Positive,International Politics,1,Professional,1,0,1,Blue
170,NY Climate Collective,14/03/2019,photo,NO_CTA,photo,618.94,102150,1655,312,373,0,0,No,0,No person,Persuading,2,1,7,3,CTA in text,Negative,Social issues,0,Professional,1,0,0,White
171,NY Climate Collective,03/05/2018,video,NO_CTA,video,388.04,101817,151,51,59,8344,2263,Yes,1,Man,Persuading,2,1,7,4,no CTA at all,Negative,Finance,0,Professional,0,0,0,Black
173,Heschsoft,08/05/2019,photo,NO_CTA,photo,144.03,100995,19,11,2,0,0,No,0,No person,Informing,3,1,6,8,CTA in text,Positive,Finance,0,Professional,0,0,0,White
175,Great Rants,08/04/2019,video,learn_more,video,671.27,100357,95,64,11,8236,4068,No,0,No person,Informing,3,1,5,9,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
175,Great Rants,08/04/2019,video,learn_more,video,671.27,100357,95,64,11,8236,4068,Yes,1,Woman,Persuading,1,1,9,4,no CTA at all,Positive,Finance,0,Professional,0,0,1,Blue
176,Heschsoft,25/04/2018,video,learn_more,video,200,100349,49,3,2,2381,837,Yes,5,Man,Persuading,1,1,8,3,no CTA at all,Positive,Security,0,Professional,1,0,0,Black
177,Grece Foundation,14/11/2018,photo,NO_CTA,photo,263.8,99853,141,12,26,0,0,No,0,No person,Persuading,3,1,8,3,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Black
178,Heschsoft,03/04/2019,video,NO_CTA,video,152.63,99810,18,0,1,1363,434,Yes,2,Man,Informing,4,1,7,9,no CTA at all,Positive,Security,0,Professional,0,0,0,Black
179,NY Climate Collective,02/05/2019,link,NO_CTA,share,226.7,99657,249,57,33,0,0,Yes,1,Man,Informing,2,1,5,9,CTA in creative,Positive,Economy,0,Professional,0,0,0,Black
181,Ted Hansen Campaign,18/01/2019,video,NO_CTA,video,258.48,98353,22,2,3,18955,18955,No,0,No person,Entertaining,1,7,3,3,no CTA at all,Neutral,Economy,0,Professional,0,0,0,White
182,Loto Paper Laundry,14/11/2018,video,NO_CTA,video,725.21,98095,1061,369,112,13190,4365,Yes,5,Both,Persuading,2,1,9,3,no CTA at all,Positive,Other,1,Professional,0,0,1,Blue
183,Ted Hansen Campaign,14/01/2019,video,NO_CTA,video,360.1,97828,122,9,16,5561,1059,Yes,5,Both,Persuading,2,1,8,3,no CTA at all,Positive,Economy,0,Professional,0,1,0,Black
184,NY Climate Collective,24/01/2018,link,learn_more,share,1281.06,97588,196,44,39,0,0,Yes,4,Both,Engaging,8,1,3,5,CTA in both,Positive,Finance,0,Professional,0,0,1,Magenta
185,Great Rants,19/10/2018,video,learn_more,video,551.1,97507,95,59,12,11171,9893,No,0,No person,Engaging,8,3,3,6,CTA in creative,Positive,Other,0,Professional,0,0,1,Red
186,NY Climate Collective,01/02/2019,link,NO_CTA,share,269.57,96534,343,49,61,0,0,Yes,1,Man,Informing,2,1,4,9,no CTA at all,Positive,Economy,0,Professional,0,0,0,Grey
187,Ted Hansen Campaign,14/06/2019,photo,NO_CTA,photo,162.27,96404,13,0,0,0,0,No,0,No person,Informing,3,1,6,9,CTA in text,Positive,Economy,0,Professional,0,1,0,Grey
188,Loto Paper Laundry,21/11/2018,share,NO_CTA,link,1164.28,95318,2932,706,237,0,0,Yes,3,Both,Persuading,3,1,8,5,CTA in text,Positive,Other,1,Professional,0,0,0,Grey
189,NY Climate Collective,01/02/2018,video,learn_more,video,500,95227,634,121,158,17816,4384,No,0,No person,Persuading,4,3,8,2,CTA in text,Negative,Finance,0,Professional,1,1,0,Magenta
190,NY Climate Collective,06/07/2018,link,NO_CTA,share,518.59,95227,565,95,140,0,0,Yes,1,Man,Informing,1,1,5,9,no CTA at all,Positive,Other,0,Professional,0,0,0,Grey
191,NY Climate Collective,09/01/2019,video,NO_CTA,video,207.28,94902,59,37,10,24705,24705,No,0,No person,Persuading,2,1,8,5,no CTA at all,Positive,Social issues,0,Professional,1,0,0,Magenta
192,NY Climate Collective,11/07/2019,photo,message_page,photo,121.92,94518,2,0,0,0,0,No,0,No person,Informing,2,1,4,8,CTA in text,Positive,Other,0,Professional,0,0,0,Blue
193,Ted Hansen Campaign,26/11/2018,photo,NO_CTA,photo,542.55,94490,240,15,33,0,0,No,0,No person,Persuading,1,1,8,3,no CTA at all,Positive,Economy,0,Professional,0,1,0,Blue
194,Heschsoft,24/06/2019,photo,NO_CTA,photo,170.4,94420,25,4,0,0,0,Yes,2,Both,Persuading,2,1,8,3,CTA in text,Positive,Infrastructure,0,Professional,1,0,0,Magenta
195,Ted Hansen Campaign,12/11/2018,photo,NO_CTA,photo,325.84,94384,90,54,15,0,0,No,0,No person,Informing,1,1,5,8,no CTA at all,Positive,Economy,0,Professional,0,1,0,Blue
197,NY Climate Collective,09/08/2019,photo,NO_CTA,photo,127.94,94086,16,1,1,0,0,Yes,1,Man,Informing,1,1,5,8,CTA in text,Positive,Education,0,Professional,1,0,0,Magenta
198,Great Rants,14/05/2019,photo,NO_CTA,photo,241.68,93334,22,6,3,0,0,Yes,1,Woman,Persuading,2,1,8,3,no CTA at all,Positive,Infrastructure,1,Professional,1,0,0,Blue
199,NY Climate Collective,17/01/2019,photo,NO_CTA,photo,239.37,93287,946,54,15,0,0,No,0,No person,Persuading,1,1,8,3,no CTA at all,Positive,Economy,0,Professional,1,0,0,Magenta
200,Great Rants,16/04/2019,video,learn_more,video,636.86,93138,50,3,2,1999,1420,No,0,No person,Engaging,8,2,5,1,no CTA at all,Positive,Environment,0,Professional,0,0,0,Blue
201,Grece Foundation,01/05/2019,video,NO_CTA,video,246.85,93105,6,2,1,4244,2236,Yes,5,Both,Entertaining,3,9,6,2,CTA in creative,Negative,Economy,0,Professional,0,0,0,Black
203,Great Rants,29/04/2019,photo,NO_CTA,photo,334.19,91470,74,41,2,0,0,Yes,1,Woman,Persuading,1,1,8,2,no CTA at all,Positive,Social issues,1,Professional,1,0,0,Blue
204,NY Climate Collective,06/11/2018,video,NO_CTA,video,386.55,91221,82,44,25,6120,1844,Yes,5,Both,Persuading,1,1,9,5,CTA in creative,Positive,Social issues,0,Professional,1,0,1,Magenta
205,NY Climate Collective,05/10/2018,video,NO_CTA,video,195.35,91142,19,20,5,1864,286,Yes,1,Man,Persuading,2,1,8,3,no CTA at all,Positive,Social issues,0,Professional,0,0,0,Magenta
207,Great Rants,23/03/2019,photo,NO_CTA,photo,262.39,90836,99,29,5,0,0,Yes,1,Woman,Persuading,3,1,8,3,no CTA at all,Positive,Social issues,1,Professional,1,0,0,Red
208,Grece Foundation,11/06/2019,photo,NO_CTA,photo,159.46,89829,246,71,44,0,0,Yes,1,Man,Persuading,1,1,8,5,CTA in text,Positive,Economy,0,Professional,0,0,0,White
210,Heschsoft,11/03/2019,video,NO_CTA,video,691.87,89303,139,72,24,3006,932,No,0,No person,Persuading,7,1,9,2,CTA in creative,Positive,Security,0,Professional,1,0,0,Purple
211,NY Climate Collective,21/08/2019,video,NO_CTA,video,312.27,88764,24,6,3,5054,1922,Yes,1,Man,Persuading,1,1,7,5,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
212,Great Rants,07/05/2019,photo,NO_CTA,photo,303.08,88575,126,9,14,0,0,Yes,1,Man,Persuading,1,1,9,4,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
213,Great Rants,22/05/2019,photo,NO_CTA,photo,272.02,88356,30,7,1,0,0,Yes,1,Woman,Persuading,1,1,8,4,no CTA at all,Positive,Social issues,1,Professional,1,0,0,Red
215,NY Climate Collective,27/06/2018,photo,NO_CTA,photo,283.17,88140,739,83,131,0,0,No,0,No person,Informing,1,1,5,9,CTA in text,Positive,Finance,0,Professional,1,0,0,Magenta
216,Heschsoft,30/08/2018,video,no_button,video,150,87957,17,0,2,817,324,Yes,5,Both,Informing,1,3,7,8,CTA in text,Positive,Social issues,0,Professional,0,0,0,White
217,NY Climate Collective,21/01/2019,link,NO_CTA,share,223.85,87725,305,100,50,0,0,Yes,2,Both,Informing,1,1,3,8,CTA in text,Negative,Social issues,0,Professional,0,0,0,Grey
218,Grece Foundation,08/08/2019,photo,NO_CTA,photo,142.93,87042,7,5,5,0,0,Yes,1,Man,Informing,1,1,6,8,no CTA at all,Negative,Economy,0,Professional,0,0,0,Blue
219,NY Climate Collective,02/02/2018,video,NO_CTA,video,400,86905,37,6,10,18532,3526,Yes,5,Both,Persuading,1,2,8,5,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,White
220,Great Rants,03/05/2019,link,learn_more,share,749.9,86892,99,52,16,0,0,Yes,1,Woman,Engaging,8,1,3,5,CTA in creative,Positive,No topic,1,Professional,0,0,0,Blue
222,NY Climate Collective,09/09/2019,link,NO_CTA,share,520.3,85655,125,48,14,0,0,No,0,No person,Informing,2,1,7,8,CTA in text,Positive,Finance,0,Professional,0,0,0,Red
223,Ted Hansen Campaign,19/11/2018,photo,NO_CTA,photo,466.82,85655,145,24,20,0,0,No,0,No person,Persuading,1,3,8,5,no CTA at all,Positive,Economy,0,Professional,0,1,0,Blue
224,Spartan Consulting,28/08/2019,photo,NO_CTA,photo,204.8,85296,162,77,16,0,0,No,0,No person,Informing,5,1,3,9,no CTA at all,Neutral,Other,1,Professional,0,0,0,Blue
225,NY Climate Collective,20/07/2018,video,NO_CTA,share,298.78,85186,553,17,3,0,0,Yes,1,Man,Informing,1,1,3,8,no CTA at all,Neutral,"Innovation, science and digitalization",0,Professional,0,0,0,Black
226,Grece Foundation,14/02/2018,link,NO_CTA,share,436.09,85164,940,111,285,0,0,Yes,1,Man,Informing,1,1,6,8,no CTA at all,Neutral,Economy,0,Professional,0,0,0,Grey
227,NY Climate Collective,04/01/2019,video,NO_CTA,video,191.37,84583,104,77,14,7705,7705,No,0,No person,Persuading,1,2,8,7,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
228,Grece Foundation,31/01/2019,photo,NO_CTA,photo,109.16,83592,28,1,7,0,0,Yes,1,Woman,Persuading,1,1,6,2,no CTA at all,Positive,Education,0,Professional,0,0,0,White
229,Ted Hansen Campaign,29/01/2019,photo,NO_CTA,photo,213.46,83532,298,40,25,0,0,Yes,1,Woman,Persuading,1,1,6,3,no CTA at all,Negative,Economy,0,Professional,0,0,0,Black
230,NY Climate Collective,11/04/2019,video,learn_more,video,271.14,83480,0,0,10,2424,2424,Yes,2,Both,Persuading,2,3,7,1,no CTA at all,Negative,Social issues,0,Professional,0,0,0,Magenta
231,Heschsoft,15/02/2019,video,NO_CTA,video,100,83436,5,0,0,632,115,Yes,2,Man,Informing,5,1,5,7,no CTA at all,Positive,Social issues,0,Professional,0,0,0,Black
232,Ted Hansen Campaign,28/05/2019,photo,NO_CTA,photo,168.67,82748,4,4,0,0,0,Yes,1,Man,Persuading,1,1,7,4,no CTA at all,Positive,Economy,0,Professional,0,0,0,Blue
233,Grece Foundation,09/11/2018,photo,NO_CTA,photo,238.49,82569,196,21,38,0,0,No,0,No person,Informing,2,1,6,8,CTA in text,Positive,Finance,0,Professional,0,0,0,White
234,Great Rants,27/04/2018,share,learn_more,link,200,82497,25,23,1,0,0,No,0,No person,Engaging,8,1,1,1,CTA in text,Positive,Social issues,0,Professional,1,0,1,White
235,Spartan Consulting,29/01/2019,photo,NO_CTA,photo,233.18,81218,153,29,28,0,0,Yes,3,Both,Informing,1,1,6,8,no CTA at all,Positive,Finance,0,Professional,0,0,0,Blue
236,NY Climate Collective,19/03/2019,video,NO_CTA,video,338.37,80986,402,265,124,23115,19722,Yes,1,Woman,Persuading,1,3,8,4,CTA in text,Negative,Social issues,0,Professional,1,0,0,Red
238,Great Rants,03/05/2019,link,learn_more,share,315.17,80614,277,70,37,0,0,Yes,1,Woman,Persuading,1,1,7,3,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
238,Great Rants,03/05/2019,link,learn_more,share,315.17,80614,277,70,37,0,0,Yes,1,Woman,Engaging,8,1,7,5,CTA in creative,Positive,International Politics,1,Professional,1,0,1,Blue
239,NY Climate Collective,25/01/2019,link,NO_CTA,share,132.62,80609,424,113,60,0,0,Yes,1,Man,Informing,1,1,6,8,CTA in text,Positive,Social issues,0,Professional,0,0,0,Grey
240,NY Climate Collective,14/06/2018,link,NO_CTA,share,684.73,80607,1270,52,118,0,0,Yes,1,Man,Informing,4,1,2,8,CTA in text,Positive,Economy,0,Professional,1,0,0,Grey
241,Grece Foundation,09/01/2019,photo,NO_CTA,photo,143.23,79586,2,0,0,0,0,No,0,No person,Informing,5,1,6,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Blue
242,NY Climate Collective,11/03/2019,link,NO_CTA,share,216.95,79424,301,128,51,0,0,Yes,1,Man,Informing,1,1,7,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Grey
243,NY Climate Collective,26/07/2018,link,NO_CTA,share,370.4,79366,509,145,180,0,0,Yes,1,Man,Informing,1,1,6,8,CTA in text,Negative,Finance,0,Professional,1,0,0,Grey
244,Grece Foundation,11/02/2019,photo,NO_CTA,photo,183.51,79240,277,31,68,0,0,No,0,No person,Persuading,1,1,8,6,CTA in text,Positive,Finance,0,Professional,0,0,0,Blue
245,Ted Hansen Campaign,19/12/2018,photo,NO_CTA,photo,259.01,79200,56,1,0,0,0,No,0,No person,Engaging,8,3,1,6,CTA in both,Neutral,Economy,0,Professional,0,0,0,Blue
246,Great Rants,29/03/2019,photo,NO_CTA,photo,311.13,78710,148,25,3,0,0,Yes,1,Woman,Persuading,1,1,7,3,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
247,Ted Hansen Campaign,10/01/2019,photo,NO_CTA,photo,201.93,78603,102,4,10,0,0,Yes,1,Man,Persuading,2,1,7,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Yellow
248,NY Climate Collective,18/02/2019,video,NO_CTA,video,177.76,78437,79,58,32,7228,2206,Yes,1,Man,Informing,1,1,7,9,CTA in text,Positive,Finance,0,Professional,1,0,0,Magenta
249,Spartan Consulting,18/07/2018,video,NO_CTA,video,262.61,78390,47,0,1,2408,433,Yes,5,Both,Engaging,7,1,2,5,no CTA at all,Positive,No topic,0,Professional,0,0,0,Blue
250,NY Climate Collective,25/02/2018,video,learn_more,video,476.38,78272,178,32,69,12773,5351,Yes,1,Woman,Persuading,2,5,7,4,no CTA at all,Negative,Economy,0,Professional,0,0,0,Magenta
251,NY Climate Collective,12/07/2018,photo,NO_CTA,photo,177.44,77379,581,88,307,0,0,No,0,No person,Informing,1,2,6,9,CTA in text,Negative,Finance,0,Professional,0,0,0,Yellow
253,NY Climate Collective,25/06/2019,photo,NO_CTA,photo,187.91,77157,703,139,163,0,0,Yes,1,Man,Persuading,2,1,8,5,CTA in text,Negative,Finance,0,Professional,0,0,0,Magenta
254,Cargill Entertainment,14/08/2019,photo,NO_CTA,photo,99.05,77144,164,5,33,0,0,No,0,No person,Informing,1,1,7,8,no CTA at all,Positive,Finance,0,Professional,0,0,0,Grey
255,Ted Hansen Campaign,09/11/2018,video,NO_CTA,video,322.91,77115,33,12,8,11534,11534,No,0,No person,Informing,1,2,6,8,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
257,Grece Foundation,17/12/2018,photo,NO_CTA,photo,192.47,76464,77,4,13,0,0,No,0,No person,Informing,1,1,6,9,CTA in text,Positive,Economy,0,Professional,0,0,0,Grey
258,Ted Hansen Campaign,03/04/2019,photo,NO_CTA,photo,203.68,76242,473,55,72,0,0,Yes,1,Woman,Persuading,2,1,7,4,no CTA at all,Neutral,Economy,0,Professional,0,0,0,Red
259,Grece Foundation,15/01/2018,video,NO_CTA,video,477.38,76127,455,69,69,26069,26069,No,0,No person,Persuading,2,3,8,4,no CTA at all,Positive,Economy,0,Professional,0,0,0,Blue
260,Grece Foundation,01/02/2019,photo,NO_CTA,photo,145.57,76110,166,7,30,0,0,No,0,No person,Informing,2,1,5,8,CTA in text,Neutral,Economy,0,Professional,0,0,0,Blue
261,Ted Hansen Campaign,04/02/2019,video,NO_CTA,video,284.21,76011,4,0,1,8170,1766,Yes,4,Man,Persuading,2,1,7,5,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
262,Spartan Consulting,30/04/2019,video,NO_CTA,video,410.17,75848,133,105,15,8085,2384,Yes,1,Man,Persuading,2,1,8,6,no CTA at all,Positive,International Politics,1,Professional,0,0,0,White
263,Grece Foundation,04/03/2019,video,NO_CTA,video,133.54,75591,21,14,9,3261,1450,Yes,5,Both,Persuading,2,6,7,2,CTA in creative,Negative,Economy,0,Professional,0,0,0,Grey
264,Great Rants,08/04/2019,video,learn_more,video,624.51,75538,120,58,37,3740,1919,Yes,2,Woman,Persuading,4,1,8,2,no CTA at all,Positive,Social issues,1,Professional,0,0,1,Blue
265,Heschsoft,11/04/2019,video,NO_CTA,video,138.04,75421,14,4,3,2483,2483,Yes,1,Man,Persuading,1,1,8,4,no CTA at all,Positive,Security,1,Professional,1,0,0,Purple
267,Heschsoft,03/11/2018,video,NO_CTA,video,100,75035,34,2,0,1008,372,Yes,2,Man,Persuading,3,1,8,6,CTA in text,Positive,Security,0,Professional,0,0,1,Blue
268,Great Rants,22/04/2018,video,learn_more,video,99.81,73583,62,14,10,1244,449,Yes,1,Woman,Persuading,1,1,7,3,no CTA at all,Positive,Other,1,Professional,0,0,0,Red
269,NY Climate Collective,06/06/2019,video,NO_CTA,video,161.02,73562,31,25,17,4935,1610,Yes,1,Man,Persuading,2,1,8,7,CTA in text,Positive,Finance,0,Professional,0,0,0,Magenta
270,Great Rants,22/04/2018,video,learn_more,video,99.34,73517,91,13,3,1270,462,Yes,5,Both,Persuading,4,1,8,4,no CTA at all,Positive,Other,0,Professional,0,0,0,Blue
271,Grece Foundation,21/03/2019,photo,NO_CTA,photo,161.45,73412,357,122,114,0,0,No,0,No person,Informing,3,1,6,9,CTA in text,Negative,Finance,0,Professional,0,0,0,Blue
272,Grece Foundation,05/06/2019,photo,NO_CTA,photo,141.17,73279,384,160,34,0,0,No,0,No person,Persuading,2,1,7,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Blue
273,NY Climate Collective,17/01/2019,link,NO_CTA,share,193,73162,182,24,41,0,0,Yes,1,Man,Informing,2,1,6,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Grey
274,Great Rants,05/05/2019,photo,NO_CTA,photo,140.29,73122,22,5,2,0,0,Yes,1,Woman,Persuading,1,1,7,5,no CTA at all,Positive,Social issues,1,Professional,1,0,0,Black
275,Grece Foundation,28/02/2019,photo,NO_CTA,photo,90.75,72652,7,1,1,0,0,Yes,1,Man,Entertaining,4,8,2,1,no CTA at all,Positive,No topic,0,Professional,0,0,0,Blue
276,Great Rants,12/09/2018,photo,NO_CTA,photo,137.73,72406,10,0,0,0,0,Yes,3,Both,Engaging,8,1,3,4,no CTA at all,Positive,No topic,0,Professional,0,0,0,Blue
279,Ted Hansen Campaign,03/05/2019,photo,NO_CTA,photo,163.95,72123,594,103,46,0,0,No,0,No person,Informing,1,4,6,7,no CTA at all,Positive,Economy,0,Professional,0,1,0,Other
280,NY Climate Collective,28/02/2019,video,NO_CTA,video,102.44,72105,26,6,3,2396,664,Yes,1,Man,Persuading,3,1,8,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
281,Great Rants,08/04/2019,link,learn_more,share,363.33,72043,590,36,65,0,0,Yes,1,Woman,Engaging,8,1,7,6,CTA in creative,Positive,International Politics,1,Professional,1,0,0,Blue
283,NY Climate Collective,26/08/2019,photo,message_page,photo,101.63,71686,5,0,0,0,0,No,0,No person,Informing,2,1,3,9,CTA in text,Neutral,Economy,0,Professional,0,0,0,Green
284,Liberty House,18/01/2019,photo,NO_CTA,photo,198.86,71614,58,4,8,0,0,Yes,2,Both,Persuading,1,1,8,5,no CTA at all,Positive,Education,0,Professional,0,0,0,Orange
285,NY Climate Collective,25/02/2018,link,learn_more,share,500,71568,432,117,80,0,0,No,0,No person,Engaging,8,3,5,6,CTA in both,Positive,Other,0,Professional,0,0,0,White
286,NY Climate Collective,20/02/2018,link,NO_CTA,share,407.51,71553,320,13,32,0,0,Yes,1,Man,Informing,2,1,7,8,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,1,Grey
287,NY Climate Collective,04/03/2019,video,NO_CTA,video,127.33,71459,33,9,9,3985,920,Yes,2,Man,Persuading,2,1,8,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
288,NY Climate Collective,14/03/2019,link,learn_more,share,569.24,71262,407,175,241,0,0,No,0,No person,Persuading,3,3,8,4,CTA in creative,Positive,Social issues,0,Professional,0,0,1,Magenta
289,Pierce Associates,13/08/2019,video,NO_CTA,video,329.67,71164,101,38,11,12670,3982,Yes,5,Both,Persuading,4,1,9,4,no CTA at all,Positive,No topic,1,Professional,1,0,0,Green
290,NY Climate Collective,04/06/2018,link,NO_CTA,share,363.14,70913,1542,41,32,0,0,No,0,No person,Informing,2,3,8,9,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
291,Ted Hansen Campaign,08/02/2019,photo,NO_CTA,photo,176.47,70910,347,28,48,0,0,No,0,No person,Persuading,2,3,8,4,no CTA at all,Neutral,International Politics,0,Professional,0,0,0,Red
292,NY Climate Collective,02/07/2019,link,NO_CTA,share,317.62,70849,136,92,72,0,0,No,0,No person,Informing,1,1,2,10,no CTA at all,Neutral,Environment,0,Professional,0,0,0,Blue
293,Great Rants,20/04/2019,video,NO_CTA,video,436.45,70835,252,8,21,3544,1833,Yes,1,Woman,Entertaining,3,7,2,2,no CTA at all,Positive,No topic,0,Professional,0,0,0,Pink
294,NY Climate Collective,18/07/2018,photo,message_page,photo,409.08,70801,571,57,69,0,0,No,0,No person,Informing,1,1,7,10,CTA in text,Negative,Education,0,Professional,0,0,0,Magenta
295,Ted Hansen Campaign,23/11/2018,video,NO_CTA,video,395.05,69971,22,1,3,3636,3636,No,0,No person,Persuading,2,5,8,2,no CTA at all,Positive,Economy,0,Professional,0,0,0,Black
296,NY Climate Collective,01/04/2018,link,NO_CTA,share,251.65,69779,582,151,56,0,0,Yes,1,Man,Informing,1,1,7,9,no CTA at all,Positive,Economy,0,Professional,0,0,0,Black
297,Spartan Consulting,21/06/2019,photo,NO_CTA,photo,145.23,69649,160,20,22,0,0,Yes,1,Man,Engaging,8,3,6,5,CTA in both,Positive,Economy,0,Professional,0,0,0,Blue
298,Great Rants,14/05/2019,photo,NO_CTA,photo,112.92,69391,0,0,2,0,0,Yes,2,Woman,Persuading,3,1,7,4,no CTA at all,Positive,Education,1,Professional,1,0,0,Black
300,NY Climate Collective,20/06/2018,photo,NO_CTA,photo,243.63,69239,1266,139,216,0,0,No,0,No person,Persuading,2,4,9,7,CTA in text,Positive,Economy,0,Professional,0,0,0,Yellow
301,Great Rants,20/05/2019,video,NO_CTA,video,313.26,69201,21,6,1,1706,499,Yes,2,Both,Persuading,1,1,8,3,no CTA at all,Positive,Social issues,1,Professional,1,0,0,Blue
302,Grece Foundation,21/02/2019,photo,NO_CTA,photo,161.58,69055,153,13,16,0,0,No,0,No person,Informing,2,1,6,9,CTA in text,Positive,Economy,0,Professional,0,0,0,Blue
304,NY Climate Collective,09/09/2019,video,NO_CTA,video,439.96,68966,66,28,18,13092,3431,Yes,1,Man,Persuading,1,1,8,6,no CTA at all,Positive,Finance,0,Professional,1,0,0,Magenta
306,NY Climate Collective,23/01/2019,link,view_instagram_profile,share,360,68653,344,168,25,1309,1309,No,0,No person,Engaging,10,3,2,7,CTA in creative,Positive,No topic,0,Professional,0,0,1,Yellow
307,Grece Foundation,09/05/2019,photo,NO_CTA,photo,153.87,68503,523,264,66,0,0,No,0,No person,Engaging,8,1,4,4,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
309,NY Climate Collective,18/04/2018,video,NO_CTA,video,303.44,68339,35,16,8,3063,883,Yes,5,Both,Persuading,2,1,9,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Black
310,Heschsoft,03/09/2019,photo,NO_CTA,photo,166.91,67780,43,8,3,0,0,Yes,1,Woman,Persuading,2,1,8,4,CTA in text,Positive,Education,0,Professional,0,0,0,Pink
311,NY Climate Collective,18/10/2018,video,NO_CTA,video,317.62,67529,148,106,27,10230,2256,Yes,1,Man,Persuading,1,1,9,5,no CTA at all,Positive,Finance,0,Professional,1,0,0,Magenta
312,Great Rants,08/04/2019,link,NO_CTA,share,415.29,66972,497,22,71,0,0,Yes,4,Both,Engaging,8,1,6,3,no CTA at all,Positive,International Politics,1,Professional,1,0,0,White
313,NY Climate Collective,05/12/2018,photo,NO_CTA,photo,702.55,66733,784,136,211,0,0,Yes,2,Both,Persuading,2,3,7,6,CTA in text,Positive,Finance,0,Professional,1,0,0,Magenta
314,NY Climate Collective,17/08/2018,photo,NO_CTA,photo,151.65,66618,74,18,33,0,0,No,0,No person,Informing,2,1,7,9,CTA in text,Positive,Education,0,Professional,1,0,0,Green
315,Heschsoft,18/03/2019,video,NO_CTA,video,108.4,66589,107,18,7,2800,2800,No,0,No person,Persuading,2,1,8,5,CTA in text,Positive,Security,0,Professional,1,0,0,Purple
316,Great Rants,01/05/2019,photo,NO_CTA,photo,161.91,65781,18,2,1,0,0,Yes,1,Woman,Persuading,1,1,9,6,no CTA at all,Positive,"Innovation, science and digitalization",1,Professional,1,0,0,Red
317,Ted Hansen Campaign,05/09/2019,photo,NO_CTA,photo,125.9,65721,58,20,1,0,0,Yes,1,Man,Persuading,1,1,9,4,no CTA at all,Positive,International Politics,0,Professional,0,0,0,Blue
319,NY Climate Collective,02/02/2018,photo,message_page,photo,500,65478,1219,41,125,0,0,No,0,No person,Engaging,8,1,3,4,CTA in text,Positive,No topic,0,Professional,1,0,1,Black
320,Grece Foundation,17/05/2019,album,NO_CTA,status,128.95,65457,116,3,5,0,0,No,0,No person,Informing,1,1,6,8,CTA in text,Positive,International Politics,1,Professional,0,0,1,Blue
321,Cargill Entertainment,13/03/2019,photo,NO_CTA,photo,244.28,65426,81,20,15,0,0,No,0,No person,Informing,7,1,4,8,CTA in text,Positive,International Politics,1,Professional,0,0,0,Grey
